,make,model
0,Citroen,Xsara Picasso
4,Chrysler,Voyager
50,Chevrolet,Utility
102,Chana,Star
111,Cadillac,STS
115,CMC,SESBUYILE
116,CAM,Rhino
117,Bentley,Turbo R
119,BMW,318
121,Audi,500
124,Alfa Romeo,164
125,Alfa Romeo,159
144,Alfa Romeo,156
159,Alfa Romeo,155
160,Alfa Romeo,147
170,Alfa Romeo,146
171,Alfa Romeo,145
176,Alfa Romeo,Spider
186,Alfa Romeo,Mito
200,Alfa Romeo,Giulietta
218,Alfa Romeo,GTV
224,Alfa Romeo,GT
234,Alfa Romeo,Brera
239,Aston Martin,Vantage
251,Aston Martin,V8 Vantage
255,Aston Martin,V8
260,Aston Martin,Lagonda
265,Aston Martin,DB9
269,Aston Martin,DB7
270,Audi,200
271,Audi,Turbo
272,Audi,TT
323,Audi,S6
325,Audi,S5
340,Audi,S4
360,Audi,S3
408,Audi,S2
409,Audi,RS6
413,Audi,RS5
424,Audi,RS4 Avant
425,Audi,RS4
436,Audi,RS3
443,Audi,R8
454,Audi,Quattro
460,Audi,Q7
511,Audi,Q5
558,Audi,Q3
582,Audi,Convertible
583,Audi,Cabriolet
584,Audi,Allroad
591,Audi,A8
626,Audi,A7
640,Audi,A6
709,Audi,A5
762,Audi,A4
876,Audi,A3
965,Audi,A1
997,Austin,Healey
998,BMW,125
1002,BMW,7
1059,BMW,6
1086,BMW,5
1176,BMW,3
1304,BMW,1
1375,BMW,Z4
1418,BMW,Z3
1420,BMW,Z1
1421,BMW,X6
1447,BMW,X5
1514,BMW,X3
1567,BMW,X1
1597,BMW,X
1603,BMW,M6
1618,BMW,M5
1630,BMW,M3
1681,BMW,M1
1684,BMW,M Series
1702,BMW,M Coupe
1706,BMW,730d
1708,BMW,7 Series
1752,BMW,645Ci
1753,BMW,6 Series
1778,BMW,530d
1779,BMW,523i
1782,BMW,520d
1786,BMW,5 Series
1861,BMW,335i
1872,BMW,330i
1885,BMW,328i
1894,BMW,325i
1909,BMW,323i
1918,BMW,320i
1950,BMW,320d
1976,BMW,318ti
1979,BMW,318i
1986,BMW,316i
1990,BMW,3 Series
2106,BMW,135i
2112,BMW,125i
2117,BMW,120i
2125,BMW,120D
2136,BMW,118i
2152,BMW,116i
2164,BMW,1 Series
2233,Bentley,Continental
2248,CAM,Inyathi
2249,CMC,Amandla
2251,Cadillac,SRX
2254,Cadillac,CTS
2256,Cadillac,BLS
2262,Chana,Maxi Star
2266,Chana,Benni
2272,Cherry,QQ
2273,Chevrolet,Trailblazer
2291,Chevrolet,Spark Lite
2299,Chevrolet,Spark
2364,Chevrolet,Sonic
2390,Chevrolet,Orlando
2403,Chevrolet,Optra
2422,Chevrolet,Lumina
2466,Chevrolet,Cruze
2518,Chevrolet,Corvette
2519,Chevrolet,Corsa Utility
2556,Chevrolet,Corsa
