id,make,model,year,location,price
1,Citroen,Xsara Picasso,2007,Johannesburg,69900
2,Citroen,Xsara Picasso,2004,Johannesburg,39900
3,Citroen,Xsara Picasso,2006,Pretoria,79900
4,Citroen,Xsara Picasso,2005,East London,49950
5,Chrysler,Voyager,2015,Cape Town,579900
6,Chrysler,Voyager,2013,Cape Town,484900
7,Chrysler,Voyager,2011,Cape Town,343233
8,Chrysler,Voyager,2010,Cape Town,279900
9,Chrysler,Voyager,2005,Cape Town,84995
10,Chrysler,Voyager,2004,Cape Town,119995
11,Chrysler,Voyager,1997,Cape Town,54950
12,Chrysler,Voyager,2015,Durban,569900
13,Chrysler,Voyager,2014,Durban,439950
14,Chrysler,Voyager,2013,Durban,432450
15,Chrysler,Voyager,2012,Durban,344950
16,Chrysler,Voyager,2011,Durban,259990
17,Chrysler,Voyager,2010,Durban,259990
18,Chrysler,Voyager,2000,Durban,42000
19,Chrysler,Voyager,2013,Johannesburg,362599
20,Chrysler,Voyager,2012,Johannesburg,269900
21,Chrysler,Voyager,2010,Johannesburg,229925
22,Chrysler,Voyager,2009,Johannesburg,189950
23,Chrysler,Voyager,2008,Johannesburg,199963
24,Chrysler,Voyager,2006,Johannesburg,141640
25,Chrysler,Voyager,2005,Johannesburg,104900
26,Chrysler,Voyager,2004,Johannesburg,97470
27,Chrysler,Voyager,2003,Johannesburg,99900
28,Chrysler,Voyager,2002,Johannesburg,89933
29,Chrysler,Voyager,1998,Johannesburg,49990
30,Chrysler,Voyager,1998,Soweto,49995
31,Chrysler,Voyager,2014,Pretoria,632900
32,Chrysler,Voyager,2013,Pretoria,332967
33,Chrysler,Voyager,2012,Pretoria,377400
34,Chrysler,Voyager,2011,Pretoria,304948
35,Chrysler,Voyager,2010,Pretoria,253250
36,Chrysler,Voyager,2008,Pretoria,124900
37,Chrysler,Voyager,2007,Pretoria,154659
38,Chrysler,Voyager,2006,Pretoria,107530
39,Chrysler,Voyager,2005,Pretoria,99900
40,Chrysler,Voyager,2004,Pretoria,84900
41,Chrysler,Voyager,2003,Pretoria,44975
42,Chrysler,Voyager,2002,Pretoria,90000
43,Chrysler,Voyager,2001,Pretoria,69900
44,Chrysler,Voyager,1999,Pretoria,49900
45,Chrysler,Voyager,2009,Port Elizabeth,184900
46,Chrysler,Voyager,2006,Port Elizabeth,169900
47,Chrysler,Voyager,2005,Port Elizabeth,99990
48,Chrysler,Voyager,2011,Benoni,287425
49,Chrysler,Voyager,2007,Benoni,151583
50,Chrysler,Voyager,2004,Benoni,109950
51,Chevrolet,Utility,2015,Cape Town,164980
52,Chevrolet,Utility,2014,Cape Town,140575
53,Chevrolet,Utility,2013,Cape Town,109995
54,Chevrolet,Utility,2012,Cape Town,120475
55,Chevrolet,Utility,2011,Cape Town,89995
56,Chevrolet,Utility,2015,Durban,137450
57,Chevrolet,Utility,2014,Durban,132000
58,Chevrolet,Utility,2013,Durban,128461
59,Chevrolet,Utility,2012,Durban,127073
60,Chevrolet,Utility,2011,Durban,127633
61,Chevrolet,Utility,2010,Durban,96100
62,Chevrolet,Utility,2009,Durban,79950
63,Chevrolet,Utility,2016,Johannesburg,224950
64,Chevrolet,Utility,2015,Johannesburg,150487
65,Chevrolet,Utility,2014,Johannesburg,137294
66,Chevrolet,Utility,2013,Johannesburg,123603
67,Chevrolet,Utility,2012,Johannesburg,116205
68,Chevrolet,Utility,2011,Johannesburg,98223
69,Chevrolet,Utility,2010,Johannesburg,91584
70,Chevrolet,Utility,2007,Johannesburg,62000
71,Chevrolet,Utility,2006,Johannesburg,68000
72,Chevrolet,Utility,2013,Soweto,142900
73,Chevrolet,Utility,2016,Pretoria,182425
74,Chevrolet,Utility,2015,Pretoria,155478
75,Chevrolet,Utility,2014,Pretoria,140049
76,Chevrolet,Utility,2013,Pretoria,139728
77,Chevrolet,Utility,2012,Pretoria,127112
78,Chevrolet,Utility,2011,Pretoria,110499
79,Chevrolet,Utility,2010,Pretoria,108939
80,Chevrolet,Utility,2014,Port Elizabeth,127490
81,Chevrolet,Utility,2013,Port Elizabeth,132459
82,Chevrolet,Utility,2012,Port Elizabeth,129995
83,Chevrolet,Utility,2011,Port Elizabeth,108390
84,Chevrolet,Utility,2010,Port Elizabeth,102490
85,Chevrolet,Utility,2015,Pietermaritzburg,132991
86,Chevrolet,Utility,2014,Pietermaritzburg,134990
87,Chevrolet,Utility,2013,Pietermaritzburg,147990
88,Chevrolet,Utility,2012,Pietermaritzburg,133741
89,Chevrolet,Utility,2015,Benoni,160860
90,Chevrolet,Utility,2014,Benoni,131457
91,Chevrolet,Utility,2013,Benoni,123350
92,Chevrolet,Utility,2012,Benoni,121181
93,Chevrolet,Utility,2011,Benoni,96672
94,Chevrolet,Utility,2010,Benoni,97536
95,Chevrolet,Utility,2009,Benoni,103445
96,Chevrolet,Utility,2008,Benoni,92000
97,Chevrolet,Utility,2005,Benoni,110000
98,Chevrolet,Utility,2014,East London,153566
99,Chevrolet,Utility,2013,East London,136956
100,Chevrolet,Utility,2012,East London,134995
101,Chevrolet,Utility,2011,East London,134995
102,Chevrolet,Utility,2010,East London,84995
103,Chana,Star,2012,Cape Town,49950
104,Chana,Star,2008,Johannesburg,34900
105,Chana,Star,2014,Pretoria,71400
106,Chana,Star,2013,Pretoria,69999
107,Chana,Star,2012,Pretoria,39900
108,Chana,Star,2011,Pretoria,69900
109,Chana,Star,2010,Pretoria,49995
110,Chana,Star,2008,Pretoria,32498
111,Chana,Star,2007,Pretoria,29900
112,Cadillac,STS,2010,Johannesburg,295000
113,Cadillac,STS,2009,Johannesburg,219950
114,Cadillac,STS,2008,Johannesburg,119900
115,Cadillac,STS,2001,Johannesburg,79500
116,CMC,SESBUYILE,2012,Pretoria,109950
117,CAM,Rhino,2008,Johannesburg,58233
118,Bentley,Turbo R,1989,Johannesburg,549990
119,Bentley,Turbo R,1985,Johannesburg,275000
120,BMW,318,2004,Benoni,73900
121,BMW,318,2002,Benoni,17900
122,Audi,500,1988,Pretoria,22995
123,Audi,500,1983,Benoni,21999
124,Aston Martin,Volante,2010,Cape Town,1999995
125,Alfa Romeo,164,1994,Johannesburg,119000
126,Alfa Romeo,159,2013,Cape Town,239900
127,Alfa Romeo,159,2010,Cape Town,149995
128,Alfa Romeo,159,2008,Cape Town,99995
129,Alfa Romeo,159,2007,Cape Town,99995
130,Alfa Romeo,159,2006,Cape Town,69995
131,Alfa Romeo,159,2012,Durban,229950
132,Alfa Romeo,159,2014,Johannesburg,279900
133,Alfa Romeo,159,2013,Johannesburg,229900
134,Alfa Romeo,159,2012,Johannesburg,286575
135,Alfa Romeo,159,2010,Johannesburg,199000
136,Alfa Romeo,159,2009,Johannesburg,239900
137,Alfa Romeo,159,2008,Johannesburg,164900
138,Alfa Romeo,159,2007,Johannesburg,199000
139,Alfa Romeo,159,2006,Johannesburg,101700
140,Alfa Romeo,159,2013,Pretoria,264900
141,Alfa Romeo,159,2007,Pretoria,119900
142,Alfa Romeo,159,2006,Pretoria,114900
143,Alfa Romeo,159,2007,Benoni,89950
144,Alfa Romeo,159,2006,Benoni,69950
145,Alfa Romeo,156,2002,Cape Town,39900
146,Alfa Romeo,156,2001,Cape Town,39950
147,Alfa Romeo,156,2001,Durban,24995
148,Alfa Romeo,156,2005,Johannesburg,79000
149,Alfa Romeo,156,2003,Johannesburg,99900
150,Alfa Romeo,156,2002,Johannesburg,42900
151,Alfa Romeo,156,2001,Johannesburg,37900
152,Alfa Romeo,156,1983,Johannesburg,29000
153,Alfa Romeo,156,2006,Pretoria,44950
154,Alfa Romeo,156,2004,Pretoria,65000
155,Alfa Romeo,156,2002,Pretoria,39900
156,Alfa Romeo,156,2000,Pretoria,32450
157,Alfa Romeo,156,1999,Pretoria,39800
158,Alfa Romeo,156,2004,Benoni,37950
159,Alfa Romeo,156,1999,Benoni,59500
160,Alfa Romeo,155,1995,Johannesburg,35000
161,Alfa Romeo,147,2009,Cape Town,95900
162,Alfa Romeo,147,2006,Cape Town,64950
163,Alfa Romeo,147,2004,Cape Town,62965
164,Alfa Romeo,147,2009,Johannesburg,109900
165,Alfa Romeo,147,2008,Johannesburg,87900
166,Alfa Romeo,147,2005,Johannesburg,159900
167,Alfa Romeo,147,2003,Johannesburg,59498
168,Alfa Romeo,147,2002,Johannesburg,42900
169,Alfa Romeo,147,2003,Pretoria,45000
170,Alfa Romeo,147,2008,Port Elizabeth,99950
171,Alfa Romeo,146,1996,Johannesburg,24990
172,Alfa Romeo,145,2000,Johannesburg,34900
173,Alfa Romeo,145,1999,Pretoria,20000
174,Alfa Romeo,145,1997,Pretoria,500000
175,Alfa Romeo,145,1996,Pretoria,16500
176,Alfa Romeo,145,1970,Pretoria,99999
177,Alfa Romeo,Spider,1975,Cape Town,139995
178,Alfa Romeo,Spider,2010,Johannesburg,338233
179,Alfa Romeo,Spider,2009,Johannesburg,264900
180,Alfa Romeo,Spider,2003,Johannesburg,69900
181,Alfa Romeo,Spider,2001,Johannesburg,89000
182,Alfa Romeo,Spider,2003,Pretoria,72967
183,Alfa Romeo,Spider,2002,Pretoria,85000
184,Alfa Romeo,Spider,2001,Pretoria,89900
185,Alfa Romeo,Spider,1985,Pretoria,169500
186,Alfa Romeo,Spider,1969,Pretoria,495000
187,Alfa Romeo,Mito,2012,Cape Town,169900
188,Alfa Romeo,Mito,2010,Cape Town,159995
189,Alfa Romeo,Mito,2009,Cape Town,129995
190,Alfa Romeo,Mito,2009,Durban,146657
191,Alfa Romeo,Mito,2013,Johannesburg,219900
192,Alfa Romeo,Mito,2012,Johannesburg,199085
193,Alfa Romeo,Mito,2011,Johannesburg,166567
194,Alfa Romeo,Mito,2010,Johannesburg,161939
195,Alfa Romeo,Mito,2014,Pretoria,189900
196,Alfa Romeo,Mito,2013,Pretoria,174900
197,Alfa Romeo,Mito,2011,Pretoria,148493
198,Alfa Romeo,Mito,2010,Pretoria,179948
199,Alfa Romeo,Mito,2009,Pretoria,122675
200,Alfa Romeo,Mito,2012,Pietermaritzburg,209990
201,Alfa Romeo,Giulietta,2015,Cape Town,279900
202,Alfa Romeo,Giulietta,2013,Cape Town,218332
203,Alfa Romeo,Giulietta,2012,Cape Town,179995
204,Alfa Romeo,Giulietta,2010,Durban,239990
205,Alfa Romeo,Giulietta,2014,Johannesburg,318760
206,Alfa Romeo,Giulietta,2013,Johannesburg,228686
207,Alfa Romeo,Giulietta,2012,Johannesburg,267418
208,Alfa Romeo,Giulietta,2011,Johannesburg,214149
209,Alfa Romeo,Giulietta,2010,Johannesburg,199990
210,Alfa Romeo,Giulietta,2014,Pretoria,234900
211,Alfa Romeo,Giulietta,2013,Pretoria,252567
212,Alfa Romeo,Giulietta,2011,Pretoria,211633
213,Alfa Romeo,Giulietta,2010,Pretoria,229900
214,Alfa Romeo,Giulietta,2012,Port Elizabeth,229900
215,Alfa Romeo,Giulietta,2012,Pietermaritzburg,279990
216,Alfa Romeo,Giulietta,2011,Pietermaritzburg,215900
217,Alfa Romeo,Giulietta,2012,Benoni,224900
218,Alfa Romeo,Giulietta,2011,Benoni,139950
219,Alfa Romeo,GTV,2000,Johannesburg,47900
220,Alfa Romeo,GTV,1975,Johannesburg,349990
221,Alfa Romeo,GTV,2002,Pretoria,65000
222,Alfa Romeo,GTV,2000,Pretoria,49900
223,Alfa Romeo,GTV,1982,Pretoria,29000
224,Alfa Romeo,GTV,1978,Pretoria,34995
225,Alfa Romeo,GT,2006,Cape Town,119995
226,Alfa Romeo,GT,2005,Cape Town,89950
227,Alfa Romeo,GT,2006,Durban,116658
228,Alfa Romeo,GT,2008,Johannesburg,158233
229,Alfa Romeo,GT,2007,Johannesburg,136433
230,Alfa Romeo,GT,2006,Johannesburg,84900
231,Alfa Romeo,GT,2012,Pretoria,229000
232,Alfa Romeo,GT,2010,Pretoria,249900
233,Alfa Romeo,GT,2007,Pretoria,119619
234,Alfa Romeo,GT,2005,Pretoria,129995
235,Alfa Romeo,Brera,2009,Johannesburg,292400
236,Alfa Romeo,Brera,2007,Johannesburg,189000
237,Alfa Romeo,Brera,2006,Johannesburg,229900
238,Aston Martin,Virage,2011,Johannesburg,2400000
239,Aston Martin,Vantage,2011,Cape Town,1499995
240,Aston Martin,Vantage,2009,Cape Town,761976
241,Aston Martin,Vantage,2008,Cape Town,775957
242,Aston Martin,Vantage,2006,Cape Town,699900
243,Aston Martin,Vantage,2009,Johannesburg,1424500
244,Aston Martin,Vantage,2008,Johannesburg,924500
245,Aston Martin,Vantage,2006,Johannesburg,669950
246,Aston Martin,Vantage,2006,Pretoria,499995
247,Aston Martin,Vantage,2009,East London,931665
248,Aston Martin,Vantage,2008,East London,995000
249,Aston Martin,Vanquish,2013,Johannesburg,3999000
250,Aston Martin,Vanquish,2006,Johannesburg,1399990
251,Aston Martin,Vanquish,2012,Pretoria,2500000
252,Aston Martin,V8 Vantage,2009,Cape Town,759995
253,Aston Martin,V8 Vantage,2008,Cape Town,782471
254,Aston Martin,V8 Vantage,2009,Johannesburg,1424500
255,Aston Martin,V8 Vantage,2008,Johannesburg,999000
256,Aston Martin,V8,2009,Cape Town,789995
257,Aston Martin,V8,2008,Cape Town,779976
258,Aston Martin,V8,2006,Cape Town,699900
259,Aston Martin,V8,2009,Johannesburg,1424500
260,Aston Martin,V8,2008,Johannesburg,822967
261,Aston Martin,Lagonda,1983,Johannesburg,595000
262,Aston Martin,DBS,2010,Cape Town,1999995
263,Aston Martin,DBS,2009,Cape Town,1649995
264,Aston Martin,DBS,2009,Durban,1799000
265,Aston Martin,DB9,2014,Cape Town,2699000
266,Aston Martin,DB9,2005,Cape Town,964995
267,Aston Martin,DB9,2009,Johannesburg,1750000
268,Aston Martin,DB9,2007,Johannesburg,1099000
269,Aston Martin,DB9,2005,Johannesburg,775000
270,Aston Martin,DB7,1998,Cape Town,575995
271,Audi,200,2005,Benoni,38000
272,Audi,Turbo,2008,Johannesburg,264900
273,Audi,TT,2015,Cape Town,603842
274,Audi,TT,2014,Cape Town,409000
275,Audi,TT,2012,Cape Town,340233
276,Audi,TT,2011,Cape Town,353238
277,Audi,TT,2010,Cape Town,337931
278,Audi,TT,2009,Cape Town,227448
279,Audi,TT,2008,Cape Town,261460
280,Audi,TT,2007,Cape Town,193373
281,Audi,TT,2006,Cape Town,139995
282,Audi,TT,2004,Cape Town,129948
283,Audi,TT,2002,Cape Town,122495
284,Audi,TT,2001,Cape Town,99632
285,Audi,TT,2000,Cape Town,104995
286,Audi,TT,2015,Durban,618772
287,Audi,TT,2014,Durban,435850
288,Audi,TT,2012,Durban,499990
289,Audi,TT,2011,Durban,469900
290,Audi,TT,2010,Durban,224500
291,Audi,TT,2008,Durban,219970
292,Audi,TT,2007,Durban,189627
293,Audi,TT,2005,Durban,109995
294,Audi,TT,2001,Durban,102374
295,Audi,TT,2014,Johannesburg,369900
296,Audi,TT,2013,Johannesburg,379950
297,Audi,TT,2012,Johannesburg,349475
298,Audi,TT,2011,Johannesburg,373280
299,Audi,TT,2010,Johannesburg,284973
300,Audi,TT,2009,Johannesburg,262966
301,Audi,TT,2008,Johannesburg,179925
302,Audi,TT,2006,Johannesburg,209495
303,Audi,TT,2002,Johannesburg,124900
304,Audi,TT,2015,Pretoria,606175
305,Audi,TT,2013,Pretoria,364948
306,Audi,TT,2012,Pretoria,329950
307,Audi,TT,2011,Pretoria,302438
308,Audi,TT,2008,Pretoria,223674
309,Audi,TT,2007,Pretoria,183806
310,Audi,TT,2006,Pretoria,244900
311,Audi,TT,2002,Pretoria,109500
312,Audi,TT,2001,Pretoria,94925
313,Audi,TT,2012,Port Elizabeth,448800
314,Audi,TT,2011,Port Elizabeth,539900
315,Audi,TT,2010,Port Elizabeth,419993
316,Audi,TT,2008,Port Elizabeth,264995
317,Audi,TT,2007,Port Elizabeth,247448
318,Audi,TT,2002,Port Elizabeth,109990
319,Audi,TT,2015,Pietermaritzburg,499994
320,Audi,TT,2008,Pietermaritzburg,164890
321,Audi,TT,2008,Benoni,189900
322,Audi,TT,2004,Benoni,125000
323,Audi,TT,2015,East London,589995
324,Audi,S6,2006,Johannesburg,159990
325,Audi,S6,2014,Pretoria,784475
326,Audi,S5,2014,Cape Town,659948
327,Audi,S5,2012,Cape Town,419000
328,Audi,S5,2011,Cape Town,449995
329,Audi,S5,2008,Cape Town,369995
330,Audi,S5,2015,Durban,834595
331,Audi,S5,2013,Durban,599990
332,Audi,S5,2008,Durban,399900
333,Audi,S5,2012,Johannesburg,505000
334,Audi,S5,2011,Johannesburg,250093
335,Audi,S5,2010,Johannesburg,565000
336,Audi,S5,2009,Johannesburg,329965
337,Audi,S5,2009,Pretoria,335000
338,Audi,S5,2011,Port Elizabeth,469990
339,Audi,S5,2010,Port Elizabeth,479995
340,Audi,S5,2008,Pietermaritzburg,235000
341,Audi,S4,2013,Cape Town,505000
342,Audi,S4,2005,Cape Town,169995
343,Audi,S4,2004,Cape Town,149995
344,Audi,S4,2013,Durban,499990
345,Audi,S4,2010,Durban,474900
346,Audi,S4,2003,Durban,169900
347,Audi,S4,2012,Johannesburg,390000
348,Audi,S4,2011,Johannesburg,380000
349,Audi,S4,2010,Johannesburg,374925
350,Audi,S4,2009,Johannesburg,344945
351,Audi,S4,2005,Johannesburg,134900
352,Audi,S4,2011,Pretoria,390000
353,Audi,S4,2010,Pretoria,254945
354,Audi,S4,2006,Pretoria,139950
355,Audi,S4,2005,Pretoria,194900
356,Audi,S4,2004,Pretoria,139995
357,Audi,S4,2011,Port Elizabeth,519995
358,Audi,S4,2009,Port Elizabeth,299900
359,Audi,S4,2011,Benoni,309900
360,Audi,S4,2004,Benoni,159900
361,Audi,S3,2016,Cape Town,519900
362,Audi,S3,2015,Cape Town,568228
363,Audi,S3,2014,Cape Town,588376
364,Audi,S3,2012,Cape Town,1399632
365,Audi,S3,2010,Cape Town,299900
366,Audi,S3,2008,Cape Town,199995
367,Audi,S3,2007,Cape Town,181245
368,Audi,S3,2006,Cape Town,189995
369,Audi,S3,2003,Cape Town,129995
370,Audi,S3,2001,Cape Town,99995
371,Audi,S3,2015,Durban,595398
372,Audi,S3,2014,Durban,543324
373,Audi,S3,2010,Durban,322630
374,Audi,S3,2009,Durban,259990
375,Audi,S3,2007,Durban,209900
376,Audi,S3,2002,Durban,102997
377,Audi,S3,2015,Johannesburg,554950
378,Audi,S3,2014,Johannesburg,553267
379,Audi,S3,2013,Johannesburg,419950
380,Audi,S3,2012,Johannesburg,362450
381,Audi,S3,2010,Johannesburg,322929
382,Audi,S3,2009,Johannesburg,291495
383,Audi,S3,2007,Johannesburg,179950
384,Audi,S3,2015,Pretoria,519950
385,Audi,S3,2014,Pretoria,409950
386,Audi,S3,2012,Pretoria,294948
387,Audi,S3,2009,Pretoria,218265
388,Audi,S3,2008,Pretoria,219900
389,Audi,S3,2007,Pretoria,199950
390,Audi,S3,2012,Port Elizabeth,418995
