files,curr_date,version,file_urls,make,model
"[{'url': 'http://www.cars.co.za/carimages_gen/Land-Rover-Discovery-Sport/Land-Rover-Discovery-Sport-HSE-Luxury-Si4_LandDisc1e21v.jpg', 'path': 'full/95a83b75a5a59b0c8a4efccb82845bd6ae652c93.jpg', 'checksum': '7494642dc652eda9c0d1883626cdfe9d'}]",2016/08/07,"
            HSE Luxury Si4    ",http://www.cars.co.za/carimages_gen/Land-Rover-Discovery-Sport/Land-Rover-Discovery-Sport-HSE-Luxury-Si4_LandDisc1e21v.jpg,Land Rover,Discovery Sport
"[{'url': 'http://www.cars.co.za/carimages_gen/Land-Rover-Discovery-Sport/Land-Rover-Discovery-Sport-HSE-Luxury-Si4_LandDisc1e21_2v.jpg', 'path': 'full/ee0f8620162541b57ee92a8fe58ea7dfa1985f59.jpg', 'checksum': '14ec94b7272b1bfa9cd1a11b56d6becd'}]",2016/08/07,"
            HSE Luxury Si4    ",http://www.cars.co.za/carimages_gen/Land-Rover-Discovery-Sport/Land-Rover-Discovery-Sport-HSE-Luxury-Si4_LandDisc1e21_2v.jpg,Land Rover,Discovery Sport
"[{'url': 'http://www.cars.co.za/carimages_gen/Land-Rover-Discovery-Sport/Land-Rover-Discovery-Sport-HSE-Luxury-Si4_LandDisc1e21_3v.jpg', 'path': 'full/9dafafa7d6d1b5fe671457dcb334362f4db8d8d2.jpg', 'checksum': '96694c1374bbb321881fb0f9f8706bd8'}]",2016/08/07,"
            HSE Luxury Si4    ",http://www.cars.co.za/carimages_gen/Land-Rover-Discovery-Sport/Land-Rover-Discovery-Sport-HSE-Luxury-Si4_LandDisc1e21_3v.jpg,Land Rover,Discovery Sport
"[{'url': 'http://www.cars.co.za/carimages_gen/Land-Rover-Discovery/Land-Rover-Discovery-SDV6-Landmark_LandDisc4fe18v.jpg', 'path': 'full/65ee80861b0790c7224e922a0c459442e4ad0ec8.jpg', 'checksum': '3faed6364c296d0aa8a4e92a3fa490ad'}]",2016/08/07,"
            SDV6 Landmark    ",http://www.cars.co.za/carimages_gen/Land-Rover-Discovery/Land-Rover-Discovery-SDV6-Landmark_LandDisc4fe18v.jpg,Land Rover,Discovery
"[{'url': 'http://www.cars.co.za/carimages_gen/Land-Rover-Discovery/Land-Rover-Discovery-SDV6-Landmark_LandDisc4fe18_2v.jpg', 'path': 'full/8d307ef9f7e95fa40bb6f518cd3528e034978f77.jpg', 'checksum': '84e9c02fe5502abb41308dc8ddb768f0'}]",2016/08/07,"
            SDV6 Landmark    ",http://www.cars.co.za/carimages_gen/Land-Rover-Discovery/Land-Rover-Discovery-SDV6-Landmark_LandDisc4fe18_2v.jpg,Land Rover,Discovery
"[{'url': 'http://www.cars.co.za/carimages_gen/Land-Rover-Discovery/Land-Rover-Discovery-SDV6-Landmark_LandDisc4fe18_3v.jpg', 'path': 'full/4295ca4b84e8aa39d2daf20450dcb399fe0ae39b.jpg', 'checksum': '125f05753dafc8e6f07f7ae6ef095649'}]",2016/08/07,"
            SDV6 Landmark    ",http://www.cars.co.za/carimages_gen/Land-Rover-Discovery/Land-Rover-Discovery-SDV6-Landmark_LandDisc4fe18_3v.jpg,Land Rover,Discovery
"[{'url': 'http://www.cars.co.za/carimages_gen/Land-Rover-Defender/Land-Rover-Defender-110-TD-station-wagon-Adventure-Edition_LandDefe1fue11v.jpg', 'path': 'full/290c55367023dee6a11fc673b5a53b5373d4ef4e.jpg', 'checksum': 'd4082cb5fedde473179514de544a88c7'}]",2016/08/07,"
            110 TD station wagon Adventure Edition    ",http://www.cars.co.za/carimages_gen/Land-Rover-Defender/Land-Rover-Defender-110-TD-station-wagon-Adventure-Edition_LandDefe1fue11v.jpg,Land Rover,Defender
"[{'url': 'http://www.cars.co.za/carimages_gen/Land-Rover-Defender/Land-Rover-Defender-110-TD-station-wagon-Adventure-Edition_LandDefe1fue11_2v.jpg', 'path': 'full/b7d5e8e0fda5eb0db700a1cbdb1de5ca664af56f.jpg', 'checksum': '6bd7c39da167b5b7918d2c92d974bbbd'}]",2016/08/07,"
            110 TD station wagon Adventure Edition    ",http://www.cars.co.za/carimages_gen/Land-Rover-Defender/Land-Rover-Defender-110-TD-station-wagon-Adventure-Edition_LandDefe1fue11_2v.jpg,Land Rover,Defender
"[{'url': 'http://www.cars.co.za/carimages_gen/Land-Rover-Defender/Land-Rover-Defender-110-TD-station-wagon-Adventure-Edition_LandDefe1fue11_3v.jpg', 'path': 'full/b5016b5605b4aa01cbc96f563d2525adbc1847e7.jpg', 'checksum': 'ba3f447ed781a346e13b3b13bda3d02a'}]",2016/08/07,"
            110 TD station wagon Adventure Edition    ",http://www.cars.co.za/carimages_gen/Land-Rover-Defender/Land-Rover-Defender-110-TD-station-wagon-Adventure-Edition_LandDefe1fue11_3v.jpg,Land Rover,Defender
"[{'url': 'http://www.cars.co.za/carimages_gen/Mitsubishi-Pajero-Sport/Mitsubishi-Pajero-Sport-2.5DI-D-4x4-Shogun-auto_MitsPaje1fe4v.jpg', 'path': 'full/f095552cd6c0ea1c9d76626c83ebaa4e045ba041.jpg', 'checksum': '5a8ac621dab76894f0ab7b0be7004234'}]",2016/08/07,"
            2.5DI-D 4x4 Shogun auto    ",http://www.cars.co.za/carimages_gen/Mitsubishi-Pajero-Sport/Mitsubishi-Pajero-Sport-2.5DI-D-4x4-Shogun-auto_MitsPaje1fe4v.jpg,Mitsubishi,Pajero Sport
"[{'url': 'http://www.cars.co.za/carimages_gen/Mitsubishi-Pajero-Sport/Mitsubishi-Pajero-Sport-2.5DI-D-4x4-Shogun-auto_MitsPaje1fe4_2v.jpg', 'path': 'full/40b5dbab77019c772aba7ff286be349e6d65428e.jpg', 'checksum': '2fae7712a10ff495932768d20c44b1d1'}]",2016/08/07,"
            2.5DI-D 4x4 Shogun auto    ",http://www.cars.co.za/carimages_gen/Mitsubishi-Pajero-Sport/Mitsubishi-Pajero-Sport-2.5DI-D-4x4-Shogun-auto_MitsPaje1fe4_2v.jpg,Mitsubishi,Pajero Sport
"[{'url': 'http://www.cars.co.za/carimages_gen/Mitsubishi-Pajero-Sport/Mitsubishi-Pajero-Sport-2.5DI-D-4x4-Shogun-auto_MitsPaje1fe4_3v.jpg', 'path': 'full/47669eda5f6fd393b5c606447bd48430a189d1ef.jpg', 'checksum': '116702782522fdfa9d6632719b27fd7c'}]",2016/08/07,"
            2.5DI-D 4x4 Shogun auto    ",http://www.cars.co.za/carimages_gen/Mitsubishi-Pajero-Sport/Mitsubishi-Pajero-Sport-2.5DI-D-4x4-Shogun-auto_MitsPaje1fe4_3v.jpg,Mitsubishi,Pajero Sport
"[{'url': 'http://www.cars.co.za/carimages_gen/Mitsubishi-Pajero/Mitsubishi-Pajero-5-door-3.2DI-D-GLS-Legend-II_MitsPaje3fe3v.jpg', 'path': 'full/1f4053a5ee444a91d38e9420cba4f3e61c78825e.jpg', 'checksum': '9fb9a27d4dc3439a066debac5d088d5b'}]",2016/08/07,"
            5-door 3.2DI-D GLS Legend II    ",http://www.cars.co.za/carimages_gen/Mitsubishi-Pajero/Mitsubishi-Pajero-5-door-3.2DI-D-GLS-Legend-II_MitsPaje3fe3v.jpg,Mitsubishi,Pajero
"[{'url': 'http://www.cars.co.za/carimages_gen/Mitsubishi-Pajero/Mitsubishi-Pajero-5-door-3.2DI-D-GLS-Legend-II_MitsPaje3fe3_3v.jpg', 'path': 'full/64f95d864748d5891da44a20f74945db6b02e0e9.jpg', 'checksum': 'b1f80fe55205fee01c5430a71ad7a8eb'}]",2016/08/07,"
            5-door 3.2DI-D GLS Legend II    ",http://www.cars.co.za/carimages_gen/Mitsubishi-Pajero/Mitsubishi-Pajero-5-door-3.2DI-D-GLS-Legend-II_MitsPaje3fe3_3v.jpg,Mitsubishi,Pajero
