Make,Model,Version,Price,Curr_Date,Cloth upholstery,Fuel consumption average,Co2 emissions average,Fuel range average,Engine Position / Location,Engine Capacity,Engine Size,Cylinder Layout,Cylinders,Power Max,Power Maximum Total,Power Peak Revs,Torque Max,Torque Max Total,Torque Peak Revs,Transmission type,ABS,Electronic brake distribution (EBD),Brake assist BASEBA,Alloy wheels rims,Front tyres,Rear tyres,Air conditioning,Power steering,Steering column adjustment (rake / tilt / height / up / down),Steering column adjustment (reach depth in out),On board computer multi information display,Bluetooth connectivity,Cd player,Auxiliary input,USB port,Power socket 12v,Central locking,Cup bottle holders,Electric windows,Electric adjust mirrors,Isofix child seat mountings,High level 3rd brake light,Metallic pearlescent paint,Date Range introduced SA,Intro Date,Model Intro Date,Emissions Tax (incl in price),Acceleration (0-100 Km/h),Maximum Top Speed,Driver airbag,Front passenger airbag,Airbag quantity,Safety rating overall Euroncap,Doors,Bodyshape,Fuel Type,Driven Wheels,Gear ratios quantity,Gearshift,Seats quantity,Length,Width excl mirrors / Incl mirrors,Wheel base,Ground clearance minimum maximum,Turning circle wheels body,Load volume capacity,Unladen tare kerb weight,Gross weight gvm,Towing capacity braked,Fuel tank capacity incl reserve,Warranty time years,Warranty distance,Serviceplan,Serviceplan time (years),Service plan distance,Service interval distance,Leather upholstery,Transmission name,Traction control,Stability control,Climate control / automatic air con,Multi function steering wheel controls,Cruise control,Voice control,Rain sensor auto wipers,Auto dim interior mirror,Daytime driving running lights,Light sensor auto on / off lights,Front fog lamp lights,Emergency brake hazard lights,Rear fog lamps,Camera for park distance control,Driver knee airbag,Front side airbags,Curtain airbags,Start Stop Button,Folding rear seat,Towing capacity unbraked,Charger,Load carrying capacity payload,Hybrid,Engine Auto Stop / Start,Driving mode switch (sport / comfort),Keyless access / start hands free,Electric Start,Lumbar support adjustment,Electric seat adjustment,Heated seats front,Head up display,Navigation,Heated exterior mirrors,Electric fold retractable mirrors,Xenon headlights,Difflock,Lowrange,Approach angle,Departure angle,Wading fording water crossing depth,Maintenance plan,Maintenance plan time (years),Maintenance plan distance,Sunroof,Panoramic roof,Park distance control pdc front,Park distance control pdc rear,Hill descent control / downhill brake control,Gear shift paddles,Limited slip diff,Electric seat adjustment memory,Ventilated seats front,Heated seats rear,Ventilated seats rear,Fuel consumption urban,Fuel consumption extra-urban,Tyre pressure sensor,Electronically adjustable suspension,Air suspension,Active adaptive cruise control,Multi disc cd player shuttle,TV,Electric tail gate boot lid,Rear side airbags,All wheel drive,Folding roof,Torque Overboost,Torque Overboost Peak Revs,Sports suspension,Service interval indicator,Service interval time,End Date,Lane change blind spot warning,Auto dim exterior mirrors,Tow bar trailer hitch,Passenger knee airbag,Directional turning headlights,Adaptive headlights (varying light distribution),Lane departure warning,High beam assist,Limited Edition,Run flat tyres,Night vision,Dry weight,Electric sliding doors
Toyota,Corolla Quest,1.6 Plus,219400,42572,TRUE,6.6 l/100km,157 g/km,833 Km,Front,1598 cc,1.6 l,Inline,4,90 Kw,90 Kw,6000 r/min,154 Nm,154 Nm,5200 r/min,Manual,ABS,TRUE,TRUE,TRUE,195/65 R15,195/65 R15,TRUE,TRUE,1470 mm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Front,Remote,Front,Front,TRUE,Outer Rear,TRUE,Opt,2014-04-01,2016-04-01,2014-04-01,4218,10.5 s,195 Km/h,TRUE,TRUE,2,N/a,4,Sedan,Petrol,Front,6,Manual,5,4545 mm,1760 mm,2600 mm,150 mm,10.4 m,450 l,1240 Kg,1760 Kg,1300 Kg,55 l,3,100000 Km,TRUE,3,45000,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Corolla,1.8 Exclusive auto,330600,42572,,6.4 l/100km,152 g/km,859 Km,Front,1798 cc,1.8 l,Inline,4,103 Kw,103 Kw,6400 r/min,173 Nm,173 Nm,4000 r/min,CVT,ABS,TRUE,TRUE,TRUE,205/55 R16,205/55 R16,TRUE,TRUE,1465 mm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,Keyless,Front + Rear,Front + Rear,TRUE,Outer Rear,TRUE,Opt,2014-02-01,2015-06-01,2014-02-01,3648,10.2 s,195 Km/h,TRUE,TRUE,7,5,4,Sedan,Petrol,Front,,Automatic,5,4620 mm,1755 mm,2700 mm,125 mm,10.8 m,452 l,1335 Kg,1785 Kg,1300 Kg,55 l,3,100000 Km,TRUE,5,90000,15000,TRUE,Multidrive S,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,LED,TRUE,TRUE,Emergency-brake Flashing Hazard Lights,TRUE,Rear,TRUE,TRUE,TRUE,TRUE,TRUE,450 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Avanza,1.5 TX,272700,42572,,6.3 l/100km,150.0 g/km,584 Km,Front,1495 cc,1.5 l,Inline,4,77 Kw,77 Kw,6000 r/min,137 Nm,137 Nm,4 400 r/min,Manual,ABS,TRUE,,TRUE,185/65 R15,185/65 R15,TRUE,TRUE,1695 mm,,TRUE,,TRUE,TRUE,TRUE,TRUE,Remote,,Front + Rear,TRUE,Outer Rear,TRUE,Opt,2012-01-01,2015-09-01,2012-01-01,3420,N/a s,,TRUE,TRUE,2,N/a,5,MPV,Petrol,Rear,5,Manual,7,4190 mm,1660 mm,2655 mm,200 mm,9.4 m,899 l,1128 Kg,1700 Kg,,45 l,3,100000 Km,TRUE,4,60000,15000,,,,,,,,,,,,,TRUE,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Quantum,2.5D-4D GL 14-seater bus,491000,42572,,9.9 l/100km,266 g/km,707 Km,Front,2494 cc,2.5 l,Inline,4,75 Kw,75 Kw,3600 r/min,260 Nm,260 Nm,1600-2400 r/min,Manual,ABS,,TRUE,,195 R15 C,195 R15 C,Front+rear,TRUE,2285 mm,,,TRUE,TRUE,,,,Remote,,Front,,,TRUE,Opt,2005-03-01,2015-02-01,,16644,28.2 s,135 Km/h,TRUE,TRUE,2,N/a,4,MPV,Diesel,Rear,5,Manual,14,5380 mm,1880 mm,3110 mm,185 mm,13.8 m,,2100 Kg,3200 Kg,1000 Kg,70 l,1,40000 Km,TRUE,5,90000,10000,,,,,,,,,,,,,,,TRUE,,,,,,,400 Kg,Turbocharger,1100 l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Yaris,Hybrid,298000,42572,Partial,3.6 l/100km,82 g/km,1000 Km,Front,1497 cc,1.5 l,Inline,4,74 Kw,74e Kw,4800 r/min,111+e Nm,111+e Nm,3600-4400 r/min,CVT,ABS,TRUE,TRUE,TRUE,185/60 R15,185/60 R15,TRUE,TRUE,1520 mm,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,Remote,Front + Rear,Front + Rear,TRUE,Outer Rear,TRUE,Opt,2011-11-01,2016-01-01,2014-09-01,,11.8 s,165 Km/h,TRUE,TRUE,7,N/a,5,Hatch,Petrol-electric Hybrid,Front,,Automatic,5,3950 mm,1695 mm,2510 mm,145 mm,9.6 m,286-710 l,1160 Kg,1565 Kg,,36 l,3 Vehicle + 8 Battery,100000 Vehicle + 195000 Battery Km,TRUE,4,60000,15000,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,LED,,TRUE,Hazard,TRUE,Rear,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Electric,TRUE,Eco,Start,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Prius,Hybrid,427200,42572,,3.7 l/100km,87 g/km,1162 Km,Front,1798 cc,1.8 l,Inline,4,90 Kw,90e Kw,5200 r/min,142+e Nm,142+e Nm,3600 r/min,CVT,ABS,TRUE,TRUE,TRUE,195/65 R15,195/65 R15,TRUE,TRUE,1490 mm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Front + Rear,Keyless,Front + Rear,Front + Rear,TRUE,Outer Rear,TRUE,Opt,2009-08-01,2016-06-01,,,10.6 s,180 Km/h,TRUE,TRUE,7,5,5,Hatch,Petrol-electric Hybrid,Front,,Automatic,5,4540 mm,1760 mm,2700 mm,136 mm,10.8 m,502 l,1400 Kg,1790 Kg,725 Kg,43 l,,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,LED,TRUE,TRUE,Emergency Brake Lights,TRUE,Rear,TRUE,TRUE,TRUE,TRUE,TRUE,725 Kg,,,Electric,TRUE,"EV, Eco, Normal, Power",TRUE,TRUE,Driver Electric,Driver Partial,TRUE,TRUE,TRUE,TRUE,TRUE,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Aygo,1,152100,42572,TRUE,4.4 l/100km,102 g/km,796 Km,Front,998 cc,1.0 l,Inline,3,51 Kw,51 Kw,6000 r/min,95 Nm,95 Nm,4300 r/min,Manual,ABS,TRUE,TRUE,,165/65 R14,165/65 R14,TRUE,TRUE,1460 mm,,TRUE,TRUE,,TRUE,TRUE,TRUE,Remote,Front,Front,TRUE,Outer Rear,TRUE,Opt,2015-10-01,2016-06-01,2015-10-01,,14.2 s,160 Km/h,TRUE,TRUE,4,,5,Hatch,Petrol,Front,5,Manual,5,3455 mm,1615 mm,2340 mm,,9.6 m,168 l,855 Kg,1240 Kg,,35 l,3,100000 Km,Opt,,,15000,,,,,,,,,,,,,,Emergency-brake Flashing Brake Lights,TRUE,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Etios,Cross 1.5 Xs,190800,42572,TRUE,6.0 l/100km,138 g/km,750 Km,Front,1496 cc,1.5 l,Inline,4,66 Kw,66 Kw,5600 r/min,132 Nm,132 Nm,3 200 r/min,Manual,ABS,TRUE,,TRUE,185/60 R15,185/60 R15,TRUE,TRUE,1553 mm,,,TRUE,TRUE,TRUE,TRUE,TRUE,Remote,Front + Rear,Front + Rear,,,TRUE,Opt,2012-05-01,2015-11-01,2014-07-01,2052,11.3 s,165 Km/h,TRUE,TRUE,2,N/a,5,Hatch,Petrol,Front,5,Manual,5,3893 mm,1734 mm,2460 mm,155 mm,10.2 m,251 l,920 Kg,1430 Kg,,45 l,3,100000 Km,TRUE,2,30000,10000,,,,,,,,,,,,,TRUE,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Land Cruiser 79,Land Cruiser 79 4.5D-4D LX V8 double cab,706200,42572,TRUE,11.6 l/100km,306 g/km,1121 Km,Front,4461 cc,4.5 l,V,8,151 Kw,151 Kw,3400 r/min,430 Nm,430 Nm,1200-3200 r/min,Manual,ABS,,,TRUE,265/70 R16 C,265/70 R16 C,TRUE,TRUE,1945 mm,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,Remote,Front,Front + Rear,,,,,2002-02-01,2014-09-01,2013-06-01,20908,N/a s,160 Km/h,TRUE,TRUE,2,N/a,4,Pick-up - Double Cab,Diesel,All,5,Manual,5,5220 mm,1870 mm,3180 mm,235 mm,14.4-15.0 m,,2205 Kg,3300 Kg,3500 Kg,130 l,3,100 000 Km,Opt,Opt Max 7,Opt Max 200 000,10 000,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,750 Kg,Turbocharger,1 095 l,,,,,,,,,,TRUE,,,,Front + Rear,TRUE,33.0 degrees,27.0 degrees,700 mm,Opt,Opt Max 5,Opt Max 200 000 Km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Auris,Hybrid XR,403400,42572,Partial,3.9 l/100km,91 g/km,1154 Km,Front,1798 cc,1.8 l,Inline,4,100 Kw,100e Kw,5200 r/min,142+e Nm,142+e Nm,2200 r/min,CVT,ABS,TRUE,TRUE,TRUE,225/45 R17,225/45 R17,TRUE,TRUE,1465 mm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Front + Rear + Boot,Keyless,Front + Rear,Front + Rear,TRUE,Outer Rear,TRUE,Opt,2013-01-01,2015-07-01,2015-07-01,,10.9 s,,TRUE,TRUE,7,,5,Hatch,Petrol-electric Hybrid,Front,,Automatic,5,4275 mm,1760 mm,2600 mm,,10.8 m,360 l,,1840 Kg,,45 l,,,,,,,TRUE,,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,LED,,TRUE,,TRUE,Rear,TRUE,TRUE,TRUE,TRUE,TRUE,,,,Electric,TRUE,,TRUE,TRUE,Driver Electric,,TRUE,,,TRUE,Auto,LED,,,,,,,,,Panoramic,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Hilux,4.0 V6 double cab 4x4 Raider,606400,42572,TRUE,11.7 l/100km,279 g/km,684 Km,Front,3956 cc,4.0 l,V,6,175 Kw,175 Kw,5200 r/min,376 Nm,376 Nm,3800 r/min,Automatic,ABS,TRUE,TRUE,TRUE,265/65 R17,265/65 R17,TRUE,TRUE,1815 mm,TRUE,TRUE,TRUE,TRUE,,TRUE,Front 2,Remote,Front + Rear,Front + Rear,TRUE,Outer Rear,TRUE,,2016-02-01,2016-02-01,2016-02-01,16598,9.4 s,180 Km/h,TRUE,TRUE,7,,4,Pick-up - Double Cab,Petrol,All,6,Automatic,5,5335 mm,1855 mm,3085 mm,286 mm,12.8 m,,2015 Kg,2870 Kg,3000 Kg,80 l,3,100000 Km,TRUE,5,90000,10000,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE,Emergency-brake Flashing Brake Lights,,Rear,TRUE,TRUE,TRUE,,,750 Kg,,,,,"Std, Eco, Sport",,,,,,,,,TRUE,,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,86,2.0 high auto,474300,42572,,7.1 l/100km,164 g/km,704 Km,Front,1998 cc,2.0 l,Boxer,4,147 Kw,147 Kw,7000 r/min,205 Nm,205 Nm,6400-6600 r/min,Automatic,ABS,,,TRUE,215/45 R17,215/45 R17,TRUE,TRUE,1285 mm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Keyless,TRUE,Front,TRUE,Rear,TRUE,Opt,2014-07-01,2014-07-01,,5016,8.2 s,210 Km/h,TRUE,TRUE,7,N/a,3,Coupe,Petrol,Rear,6,Automatic,2+2,4240 mm,1775 mm,2570 mm,130 mm,10.8 m,243 l,1260 Kg,1700 Kg,,50 l,,,,,,,Partial Suede-cloth + Leather,,,TRUE,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,440 l,,,,TRUE,,,,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bentley,Flying Spur,W12,4009000,42572,,14.7 l/100km,343 g/km,612 Km,Front,5998 cc,6.0 l,W,12,460 Kw,460 Kw,6000 r/min,800 Nm,800 Nm,1700 r/min,Automatic,ABS,TRUE,TRUE,TRUE,275/40 R19 (opt 275/40 R20 / Opt 275/35 R21),275/40 R19 (opt 275/40 R20 / Opt 275/35 R21),TRUE,TRUE,1488 mm,Electric,TRUE,TRUE,TRUE,TRUE,TRUE,Front + Rear,Keyless,,TRUE,TRUE,Outer Rear,TRUE,Opt,2013-09-01,2013-09-01,2013-09-01,25422,4.6 s,320 Km/h,TRUE,TRUE,8,N/a,4,Sedan,Petrol,All,8,Automatic,5,5299 mm,1976-2208 mm,3066 mm,,12.1 m,442 l,2475 Kg,2972 Kg,,90 l,,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,Std (opt Adaptive),TRUE,TRUE,,LED,TRUE,,,TRUE,Opt Rear,,TRUE,TRUE,TRUE,,,Turbocharger,,,,,TRUE,,Front + Rear Electric,Front (opt Rear),TRUE,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,Opt + Solar Fans,,TRUE,TRUE,,Opt,,Front,Opt,TRUE,Opt,22.4 l/100km,10.2 l/100km,TRUE,Adaptive,TRUE,Opt,Opt,Opt,TRUE,TRUE,Permanent,,,,,,,,,,,,,,,,,,,,
